"","CL.1.1","CL.1.2","CL.2.1","CL.2.2","CL.3.1","CL.3.2","CL.IFNG.1.1","CL.IFNG.1.2","CL.IFNG.2.1","CL.IFNG.2.2","CL.IFNG.3.1","CL.IFNG.3.2","KO.1.1","KO.1.2","KO.2.1","KO.2.2","KO.3.1","KO.3.2","KO.IFNG.1.1","KO.IFNG.1.2","KO.IFNG.2.1","KO.IFNG.2.2","KO.IFNG.3.1","KO.IFNG.3.2"
"653635",38,35,605,602,513,502,374,376,381,382,531,507,356,258,337,385,293,298,200,222,283,228,284,309
"100422834",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"645520",1,0,49,30,30,25,25,22,31,23,24,27,33,23,18,20,35,33,20,34,15,22,23,20
"79501",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"729737",0,0,84,52,60,54,41,36,45,35,57,64,35,38,46,41,76,62,49,45,54,45,60,63
"100507658",0,0,13,23,12,13,13,4,5,8,8,9,4,8,7,7,8,7,4,4,8,13,13,17
"100132287",6,2,111,123,99,89,55,52,58,58,74,73,61,61,59,63,93,62,50,68,69,57,69,84
"100288646",1,1,1,1,5,1,1,2,2,0,1,9,1,1,1,3,0,1,2,1,0,0,5,2
"729759",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100131754",23157,23138,23439,23302,19404,19614,13836,13752,16497,16651,24183,24061,10627,10636,14679,14847,12165,12106,31749,31116,19591,19284,8885,8593
"81399",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100287654",0,0,6,4,4,0,2,1,0,2,1,0,1,1,0,0,0,3,0,0,1,1,2,0
"100133331",4,2,176,188,138,137,63,89,70,74,108,105,58,69,107,77,160,114,102,89,90,71,121,113
"100288069",7,12,75,69,58,62,28,34,33,45,51,50,36,25,40,31,52,42,31,30,23,32,46,42
"100287934",0,0,11,4,11,8,4,4,3,4,4,6,3,0,5,4,4,7,5,3,4,3,10,3
"400728",1,0,2,9,7,4,0,1,3,1,0,0,3,1,3,2,1,2,0,0,1,2,2,4
"79854",3,5,9,11,11,10,6,6,6,7,7,7,4,5,10,3,7,6,5,6,12,6,1,7
"643837",13,15,92,114,57,77,62,50,76,72,60,74,48,35,50,55,41,34,49,34,33,39,32,37
"100506327",0,0,55,79,63,59,41,40,39,47,73,79,22,31,31,23,30,35,26,21,35,22,23,34
"284593",2,1,1,2,0,2,1,3,0,0,5,1,2,2,1,0,1,1,3,2,2,3,0,2
"284600",0,0,17,11,22,9,11,5,13,5,8,5,9,7,7,8,8,10,8,4,1,1,8,4
"100130417",0,0,1,6,6,4,1,4,0,3,1,1,0,2,0,0,0,2,0,1,0,1,0,0
"148398",1,0,101,76,67,48,26,33,51,41,44,47,5,9,9,14,11,8,5,2,9,5,7,10
