Entry	Gene names	yourlist:M20200923E5A08BB0B2D1C45B0C7BC3B55FD26556BA4708Z
Q6ZV56	C22orf34	348645
Q9BZS1	FOXP3 IPEX JM2	50943
Q52LC2	ATP6AP1L	92270
Q14994	NR1I3 CAR	9970
P05997	COL5A2	1290
Q6UW60	PCSK4 PC4 UNQ2757/PRO6496	54760
Q14993	COL19A1	1310
Q8NFH8	REPS2 POB1	9185
Q9BUD6	SPON2 DIL1 UNQ435/PRO866	10417
Q86UP3	ZFHX4	79776
P28562	DUSP1 CL100 MKP1 PTPN10 VH1	1843
Q9UNE2	RPH3AL NOC2	9501
P40313	CTRL CTRL1	1506
Q15027	ACAP1 CENTB1 KIAA0050	9744
Q9BZF3	OSBPL6 ORP6	114880
Q8N614	TMEM156	80008
P25063	CD24 CD24A	100133941
Q6UXB4	CLEC4G UNQ431/PRO792	339390
Q9UBX0	HESX1 HANF	8820
Q76G19	PDZD4 KIAA1444 PDZK4 PDZRN4L	57595
C9JE40	PATL2	197135
P50226	SULT1A2 STP2	6799
A0A096LNP1	DEFB131B	100129216
Q6NUI2	GPAT2	150763
Q8TAT2	FGFBP3 C10orf13 PSEC0101	143282
Q6ZN57	ZFP2 ZNF751	80108
Q9ULW5	RAB26	25837
A2RUR9	CCDC144A KIAA0565	9720
O94813	SLIT2 SLIL3	9353
Q9Y463	DYRK1B MIRK	9149
Q9NX36	DNAJC28 C21orf55 C21orf78	54943
Q6IEE8	SLFN12L SLFN5	100506736
P09529	INHBB	3625
Q8N3J6	CADM2 IGSF4D NECL3	253559
Q86WA6	BPHL MCNAA	670
Q9UI32	GLS2 GA	27165
O15247	CLIC2	1193
P32241	VIPR1	7433
P17039	ZNF30 KOX28	90075
Q8N7N1	FAM86B1	85002
Q9NS84	CHST7	56548
P22674	CCNO	10309
Q9BX66	SORBS1 KIAA0894 KIAA1296 SH3D5	10580
P03999	OPN1SW BCP	611
Q07352	ZFP36L1 BERG36 BRF1 ERF1 RNF162B TIS11B	677
Q9ULX7	CA14 UNQ690/PRO1335	23632
Q8WV35	LRRC29 FBL9 FBXL9	26231
P49918	CDKN1C KIP2	1028
Q9H0H3	KLHL25 ENC2	64410
Q9P2H0	CEP126 KIAA1377	57562
O14604	TMSB4Y TB4Y	9087
A6NNF4	ZNF726	730087
Q8TB40	ABHD4	63874
A8K5M9	C15orf62	643338
Q5VVW2	GARNL3	84253
O94911	ABCA8 KIAA0822	10351
Q9NS67	GPR27 SREB1	2850
Q6ZN44	UNC5A KIAA1976 UNC5H1	90249
P57721	PCBP3 PCBP3-OT1 PCBP3OT	54039
Q4KMZ8	NKAIN1 FAM77C	79570
Q8WYJ6	SEPTIN1 DIFF6 PNUTL3 SEPT1	1731
Q6ZNG0	ZNF620	253639
Q6WRI0	IGSF10 CMF608	285313
Q9UJ98	STAG3	10734
O95158	NXPH4 NPH4 UNQ1928/PRO4403	11247
P32004	L1CAM CAML1 MIC5	3897
Q6PDB4	ZNF880	400713
O15020	SPTBN2 KIAA0302 SCA5	6712
Q8NFA2	NOXO1 P41NOX SH3PXD5	124056
Q14524	SCN5A	6331
Q14766	LTBP1	4052
A4FU28	CTAGE9	643854
Q9NXZ2	DDX43 HAGE	55510
Q7Z419	RNF144B IBRDC2 P53RFP	255488
P26436	ACRV1	56
Q99542	MMP19 MMP18 RASI	4327
Q0VG99	MESP2 BHLHC6 SCDO2	145873
Q5T1H1	EYS C6orf178 C6orf179 C6orf180 EGFL10 EGFL11 SPAM UNQ9424/PRO34591	346007
Q9UBI6	GNG12	55970
A6NMD0	IFITM10	402778
Q9UF11	PLEKHB1 EVT1 KPL1 PHR1 PHRET1	58473
Q2M243	CCDC27	148870
Q9BRP0	OVOL2 ZNF339	58495
Q8TCD6	PHOSPHO2	493911
Q8N6V9	TEX9	374618
Q5TYW2	ANKRD20A1 ANKRD20A	84210
Q9Y600	CSAD CSD	51380
Q6IPW1	C11orf71	54494
P55822	SH3BGR	6450
Q8N2C3	DEPDC4	120863
Q8NBQ7	AQP11 AQPX1 PSEC0027	282679
Q96JB1	DNAH8	1769
A6NM28	ZFP92	139735
Q9H0T7	RAB17	64284
Q9Y235	APOBEC2	10930
Q96CD0	FBXL8 FBL8	55336
Q9HBT7	ZNF287 ZKSCAN13	57336
P18054	ALOX12 12LO LOG12	239
Q9H4M7	PLEKHA4 PEPP1	57664
Q9BQY9	DBNDD2 C20orf35	55861
P0CW24	PNMA6A PNMA6C	84968
Q9BUP0	EFHD1 SWS2 PP3051	80303
Q9H461	FZD8	8325
Q96P67	GPR82	27197
Q12852	MAP3K12 ZPK	7786
P54284	CACNB3 CACNLB3	784
Q2M3C6	TMEM266 C15orf27 HVRP1	123591
Q6UWY2	PRSS57 PRSSL1 UNQ782/PRO1599	400668
Q5EBL4	RILPL1 RLP1	353116
Q5TGL8	PXDC1 C6orf145	221749
Q8NG66	NEK11	79858
Q7RTW8	OTOA	146183
Q8N9H8	EXD3 HBE269	54932
P10600	TGFB3	7043
Q7Z410	TMPRSS9	360200
P46089	GPR3 ACCA	2827
O15528	CYP27B1 CYP1ALPHA CYP27B	1594
Q14940	SLC9A5 NHE5	6553
Q96G61	NUDT11 APS1 DIPP3B	55190
Q86WZ0	HEATR4	399671
P48066	SLC6A11 GABT3 GAT3	6538
A0PJK1	SLC5A10 SGLT5	125206
Q9UIW0	VAX2	25806
P02751	FN1 FN	2335
Q9ULK6	RNF150 KIAA1214	57484
Q9H237	PORCN MG61 PORC PPN	64840
O94929	ABLIM3 KIAA0843 HMFN1661	22885
Q9NNX1	TUFT1	7286
P14651	HOXB3 HOX2G	3213
P62805	H4C1 H4/A H4FA HIST1H4A; H4C2 H4/I H4FI HIST1H4B; H4C3 H4/G H4FG HIST1H4C; H4C4 H4/B H4FB HIST1H4D; H4C5 H4/J H4FJ HIST1H4E; H4C6 H4/C H4FC HIST1H4F; H4C8 H4/H H4FH HIST1H4H; H4C9 H4/M H4FM HIST1H4I; H4C11 H4/E H4FE HIST1H4J; H4C12 H4/D H4FD HIST1H4K; H4C13 H4/K H4FK HIST1H4L; H4C14 H4/N H4F2 H4FN HIST2H4 HIST2H4A; H4C15 H4/O H4FO HIST2H4B; H4-16 HIST4H4	8364
Q86YW5	TREML1 TLT1 UNQ1825/PRO3438	340205
Q9HBH0	RHOF ARHF RIF	54509
Q9ULX9	MAFF	23764
Q6ICL7	SLC35E4	339665
Q9H4T2	ZSCAN16 ZNF392 ZNF435	80345
Q13077	TRAF1 EBI6	7185
Q5JWF8	ACTL10 C20orf134	170487
P43235	CTSK CTSO CTSO2	1513
Q15771	RAB30	27314
Q96L03	SPATA17	128153
O95751	LDOC1 BCUR1	23641
Q53FD0	ZC2HC1C C14orf140 FAM164C	79696
P35080	PFN2	5217
Q16581	C3AR1 AZ3B C3R1 HNFAG09	719
Q96JQ2	CLMN KIAA1188	79789
Q9UMX2	OAZ3	51686
Q9Y6N6	LAMC3	10319
Q9NP84	TNFRSF12A FN14	51330
Q9NZ94	NLGN3 KIAA1480 NL3	54413
