"","THP1_0H","THP1_0H_2","THP1_0H_3","THP1_16H","THP1_16H_2","THP1_16H_3"
"LOC100652771",5,7,2,3,3,2
"WASH7P",4093,4161,4435,2969,3059,3141
"MIR1302-2",2,1,1,1,1,3
"FAM138A",2,1,2,2,5,1
"OR4F5",0,0,0,0,0,0
"LOC729737",1869,1869,2457,1155,1086,1289
"LOC100132287",3343,3235,4101,1865,1910,2094
"LOC100288646",43,34,49,31,32,26
"OR4F29",1,0,1,0,1,0
"LOC100652939",74416,69542,81746,68248,81511,89372
"OR4F16",1,0,1,0,1,0
"LOC100287654",56,39,54,33,44,32
"LOC100133331",3267,3281,4006,1721,1666,1872
"LOC100288069",688,730,907,338,358,377
"LOC100287934",31,22,39,11,12,13
"FAM87B",39,25,49,23,30,22
"LINC00115",66,42,58,22,22,27
"LOC643837",167,207,169,73,99,59
"LOC100506327",90,94,83,12,17,15
"FAM41C",28,46,40,15,8,12
"LOC284600",14,8,6,0,0,1
"LOC100130417",1,3,2,0,0,1
"SAMD11",0,1,5,1,0,1
"NOC2L",4496,4749,4166,1577,1701,1694
"KLHL17",563,576,712,227,228,244
"PLEKHN1",10,14,12,37,30,28
"C1orf170",4,4,5,5,7,6
"HES4",6,1,5,404,432,442
"ISG15",121,139,156,42895,39568,34346
"AGRN",5481,5490,6392,12061,11206,11636
"RNF223",0,0,0,0,0,2
"C1orf159",337,376,370,186,173,202
"LOC254099",0,0,0,0,0,0
"MIR200B",0,0,0,0,0,0
"MIR200A",0,0,0,0,0,0
"MIR429",0,0,0,0,0,0
"LOC100506376",0,0,0,0,0,0
"TTLL10",0,0,0,3,3,0
"TNFRSF18",0,2,2,500,410,400
"TNFRSF4",0,1,1,68,62,83
"SDF4",6709,6890,6209,6213,6489,6233
"B3GALT6",1610,1646,1554,481,536,486
"FAM132A",9,12,18,11,6,6
"UBE2J2",1761,1642,1524,1563,1522,1520
"SCNN1D",130,130,191,13,13,8
"ACAP3",1496,1550,1657,538,462,544
"PUSL1",553,522,519,274,262,280
"CPSF3L",3118,3228,3200,1747,1745,1677
"GLTPD1",576,577,579,278,254,232
"TAS1R3",14,20,13,9,9,13
"DVL1",1590,1537,1684,683,631,678
"MXRA8",352,388,505,192,168,210
"AURKAIP1",1816,1926,1847,1068,995,931
"CCNL2",5501,5313,5910,3902,4090,4127
"LOC148413",815,848,824,466,504,482
"MRPL20",1750,1859,1720,1086,1197,1132
"LOC441869",2,2,0,1,0,2
"TMEM88B",0,0,0,0,0,0
"VWA1",9,8,6,26,36,27
"ATAD3C",113,96,114,49,42,44
"ATAD3B",1561,1629,1349,740,742,811
"ATAD3A",2356,2387,2120,955,1017,961
"C1orf70",7,14,4,1,3,3
"SSU72",1943,2132,2135,1298,1500,1275
"LOC643988",1157,1138,1200,132,139,131
"MIB2",1274,1266,1465,847,787,774
"MMP23B",45,55,53,26,22,23
"CDK11B",3141,3023,2840,2969,3117,3236
"SLC35E2B",5482,5731,5572,2165,2340,2284
"MMP23A",48,52,50,25,16,20
"CDK11A",4108,3839,3683,3752,4042,4242
"SLC35E2",3323,3331,3476,1184,1276,1268
"NADK",2840,3009,3350,9218,9189,9197
"GNB1",13949,14298,13239,11401,12187,11849
"CALML6",11,16,8,0,1,0
"TMEM52",10,2,3,2,2,1
"C1orf222",0,0,0,0,0,0
"KIAA1751",2,2,1,1,0,1
"GABRD",3,5,3,2,0,0
"PRKCZ",275,331,309,68,66,76
"LOC100506504",75,66,84,10,13,9
"C1orf86",619,621,702,327,269,270
"SKI",4085,4108,3943,1235,1249,1295
"MORN1",168,141,156,42,71,58
"LOC100129534",165,146,163,48,54,58
"RER1",3050,3094,3096,1889,2039,1859
"PEX10",276,298,304,95,100,78
"PLCH2",2,1,3,1,0,0
"PANK4",598,640,613,542,545,528
"HES5",0,0,0,0,0,0
"LOC115110",44,34,59,47,47,66
"LOC100133445",25,33,23,23,19,18
"TNFRSF14",311,300,411,995,1015,978
"C1orf93",258,257,308,27,41,51
"MMEL1",17,5,11,1,1,2
"TTC34",0,3,1,2,0,2
"ACTRT2",0,0,0,0,0,0
"FLJ42875",0,0,0,0,0,0
"PRDM16",0,0,0,0,0,0
"MIR4251",0,0,0,0,0,0
"ARHGEF16",129,109,123,37,38,43
"MEGF6",769,775,1233,76,43,39
"MIR551A",0,0,1,0,0,0
"TPRG1L",975,1046,986,336,341,352
"WRAP73",953,1008,1008,576,586,561
"TP73",769,897,771,609,593,650
"TP73-AS1",824,837,868,386,412,401
"CCDC27",310,310,305,229,243,225
"LOC388588",49,48,63,17,14,18
"LRRC47",1733,1759,1671,809,992,879
"CEP104",990,1081,1057,662,703,649
"DFFB",301,370,329,222,221,188
"C1orf174",836,812,805,427,436,456
"LOC100133612",61,58,45,24,28,30
"LOC728716",0,0,0,0,0,0
"LOC284661",0,0,0,0,0,0
"AJAP1",39,53,53,0,4,0
"MIR4417",0,0,0,0,0,0
"MIR4689",0,0,0,0,0,0
"NPHP4",1086,1255,1216,270,246,229
"KCNAB2",18172,18859,19227,4116,4359,4213
"CHD5",11,14,25,16,12,7
"RPL22",21518,21298,24845,7211,8260,7710
"RNF207",197,229,280,51,57,56
"ICMT",3391,3485,3371,2466,2670,2425
"LINC00337",12,12,6,3,3,2
"HES3",1,0,0,0,0,0
"GPR153",187,170,143,139,156,156
"ACOT7",957,1131,861,304,255,281
"LOC100130071",2,4,0,0,1,1
"HES2",3,8,2,2,0,3
"ESPN",220,195,158,19,13,18
"MIR4252",0,0,0,0,0,0
"TNFRSF25",74,83,66,48,31,38
"PLEKHG5",55,41,58,43,27,34
"NOL9",929,1005,967,519,577,563
"TAS1R1",2,1,0,1,0,0
"ZBTB48",1673,1686,1711,859,853,836
"KLHL21",835,846,846,569,584,609
"PHF13",543,532,593,359,409,362
"THAP3",409,470,422,515,477,418
"DNAJC11",2280,2268,1982,1179,1324,1378
"LOC100505887",0,0,0,0,0,0
"CAMTA1",667,674,704,661,882,720
"LOC100129476",0,0,0,0,0,0
"VAMP3",1350,1378,1416,1045,1139,1170
"PER3",336,254,418,109,108,106
"UTS2",397,345,408,190,234,221
"TNFRSF9",23,29,26,3518,3868,3787
"PARK7",4381,4518,4103,2213,2289,2083
"ERRFI1",61,44,58,252,273,320
"SLC45A1",11,9,16,24,18,16
"RERE",1683,1729,1820,4949,4984,5671
"ENO1",39612,42092,38757,29430,31817,28623
"ENO1-AS1",1,1,3,0,1,0
"CA6",0,0,0,0,0,0
"SLC2A7",3,3,0,0,0,0
"SLC2A5",5647,6031,5567,2710,2928,2728
"GPR157",15,35,33,82,63,71
"MIR34A",1,0,0,4,3,2
"LOC727721",3,6,7,2,1,2
"H6PD",4095,4602,4637,2401,2439,2457
"SPSB1",150,173,162,796,826,886
"LOC100506022",22,15,13,10,11,8
"SLC25A33",460,500,524,421,455,412
"TMEM201",1339,1414,1277,478,477,533
"PIK3CD",10719,10897,11021,8086,8138,8355
"C1orf200",383,286,296,230,271,232
"CLSTN1",13031,13549,13181,10251,11056,10984
"FLJ16126",0,0,0,0,0,0
"CTNNBIP1",479,505,527,63,40,48
"LZIC",509,513,528,268,331,277
"NMNAT1",594,567,540,534,680,596
"RBP7",10,16,10,0,2,0
"UBE4B",2580,2660,2265,792,916,897
"KIF1B",876,888,1022,1393,1567,1510
"MIR1273D",0,0,0,0,0,0
"LOC100287506",8,2,2,4,3,2
"PGD",4206,4399,5200,12274,13564,12820
"APITD1",155,120,142,65,88,76
"APITD1-CORT",0,1,0,0,0,0
"CORT",2,3,3,1,3,3
"DFFA",784,896,838,487,573,527
"PEX14",726,739,712,748,803,751
"CASZ1",94,102,112,231,259,257
"C1orf127",192,215,241,21,20,11
"TARDBP",8384,7922,7573,5990,6766,6756
"MASP2",390,323,413,174,257,224
"SRM",3085,2896,2448,1114,1217,1155
"EXOSC10",4499,4228,3857,2960,3378,3361
"LOC100652764",10,16,17,6,0,5
"MTOR",5078,5423,4603,3459,3769,3751
"ANGPTL7",0,1,0,1,1,3
"UBIAD1",928,957,806,331,332,325
"PTCHD2",5,7,11,1,1,1
"FBXO2",1,2,7,1,2,1
"FBXO44",594,574,767,275,242,270
"FBXO6",232,291,278,1973,2069,1948
"MAD2L2",1030,1201,1064,971,941,818
"C1orf187",14,18,12,4,2,2
"AGTRAP",1035,1150,1374,572,551,512
"LOC100506273",0,0,0,0,1,0
"C1orf167",0,0,2,2,0,0
"LOC100506310",0,0,0,1,0,0
"MTHFR",1742,1841,1937,1993,2203,1997
"CLCN6",1767,1722,1678,1660,1699,1973
"NPPA-AS1",27,20,16,27,33,29
"NPPA",26,35,11,24,34,31
"NPPB",0,0,0,2,1,0
"RNU5E-1",0,2,0,3,3,1
"KIAA2013",2691,2750,2614,1858,1875,1756
"PLOD1",3105,3337,2756,1727,1782,1838
"MFN2",4916,4974,4552,3569,3730,3592
"MIIP",1158,1161,936,885,932,842
"TNFRSF8",10,6,7,62,66,50
"TNFRSF1B",2040,2081,2461,14100,14691,14436
"MIR4632",0,0,0,1,0,1
"VPS13D",2420,2355,2238,2019,2310,2378
"SNORA59A",3,4,0,1,2,4
"DHRS3",63,76,61,86,94,73
"AADACL4",0,0,0,0,0,0
"AADACL3",0,0,1,0,0,0
"C1orf158",0,0,0,0,0,0
"PRAMEF12",0,0,0,0,0,0
"PRAMEF1",0,0,0,0,0,0
"PRAMEF11",0,0,0,0,0,0
"HNRNPCL1",2,6,5,3,4,7
"PRAMEF2",0,0,0,0,0,0
"PRAMEF4",0,0,0,0,0,0
"PRAMEF10",0,0,0,0,0,0
"PRAMEF7",0,0,0,0,0,0
"PRAMEF6",0,0,0,0,0,0
"PRAMEF22",0,0,0,0,0,0
"PRAMEF23",0,0,0,0,0,0
"PRAMEF25",0,0,0,0,0,0
"LOC440563",0,1,1,1,1,3
"LOC645359",0,0,0,0,0,0
"PRAMEF3",0,0,0,0,0,0
"PRAMEF5",0,0,0,0,0,0
"PRAMEF8",0,0,0,0,0,0
"PRAMEF9",0,0,0,0,0,0
"PRAMEF13",0,0,0,0,0,0
"PRAMEF18",0,0,0,0,0,0
"PRAMEF16",0,0,0,0,0,0
"PRAMEF21",0,0,0,0,0,0
"PRAMEF24",0,0,0,0,0,0
"PRAMEF15",0,0,0,0,0,0
"PRAMEF14",0,0,0,0,0,0
"PRAMEF19",0,0,0,0,0,0
"PRAMEF17",0,0,0,0,0,0
"PRAMEF20",0,0,0,0,0,0
"LRRC38",0,0,0,0,0,3
"PDPN",191,172,151,194,209,194
"PRDM2",2266,2079,2207,2070,2267,2471
"KAZN",159,174,168,27,38,16
"C1orf126",10,3,7,68,66,70
"TMEM51",306,344,389,1147,1251,1308
"FHAD1",7,2,3,16,20,25
"EFHD2",5323,5646,5553,9627,9996,9967
"CTRC",2,11,11,16,15,14
"CELA2A",0,0,1,2,2,1
"CELA2B",0,3,14,13,13,12
"CASP9",313,292,360,434,518,415
"DNAJC16",779,787,862,500,635,647
"AGMAT",375,399,333,93,99,79
"DDI2",373,285,325,340,399,380
"RSC1A1",223,190,235,234,263,292
"PLEKHM2",3755,4106,4036,6792,7105,6833
"SLC25A34",47,70,56,76,80,94
"TMEM82",0,0,0,0,0,0
"FBLIM1",14,5,16,18,21,12
"UQCRHL",917,891,943,375,380,347
"FLJ37453",183,165,219,102,131,90
"SPEN",9034,8508,9226,8753,9757,10073
"ZBTB17",1138,1132,1184,1498,1529,1567
"C1orf64",0,0,0,0,0,0
"HSPB7",363,372,277,41,42,32
"CLCNKA",64,76,102,9,19,9
"CLCNKB",5,19,11,0,1,0
"FAM131C",2,2,1,1,0,0
"EPHA2",46,30,28,55,60,66
"LOC100506484",2,1,0,1,0,0
"ARHGEF19",369,375,317,139,160,129
"RSG1",123,105,105,6,23,27
"FBXO42",1148,1135,1143,1058,1209,1145
"C1orf144",4922,5214,5063,6886,7400,7221
"SPATA21",3,0,1,5,3,3
"NECAP2",2137,2208,2314,4330,4907,4610
"CROCCP3",205,220,251,63,77,66
"RNU1-1",47,36,27,47,32,56
"LOC100506533",1,0,0,0,0,0
"LOC100133301",0,0,0,0,0,0
"NBPF1",2612,2581,2367,1076,1307,1307
"CROCCP2",936,966,1031,591,586,599
"MST1P2",201,231,315,57,55,59
