Gene	RNA.Macrophages	RNA.DC1	RNA.DC2	RNA.Inflammatory.Monocytes	RNA.CD69..Mast	RNA.CD69..Mast.1	RNA.Cycling.Monocytes	RNA.NKs	RNA.ILCs	RNA.CD4..Activated.Fos.hi	RNA.CD4..Activated.Fos.lo	RNA.CD4..Memory	RNA.Tregs	RNA.CD4..PD1.	RNA.CD8..IELs	RNA.CD8..LP	RNA.CD8..IL17.	RNA.MT.hi	RNA.Cycling.T	RNA.Plasma	RNA.Follicular	RNA.GC	RNA.Cycling.B
7SK	0.005675632	0	0.05554395	0.066830374	0.098660004	0.069797725	0	0.151045746	0.02485477	0.010392046	0.005163243	0.00786695	0.019157853	0	0.026704495	0.027808142	0	0	0	0.02792621	0.098097493	0.416991658	0.00617452
A1BG	0.011867319	0	0.019318103	0	0.075347895	0.209805296	0	0	0	0.020842067	0.04916838	0.034608992	0.014708069	0	0.060238423	0.037043423	0.154182135	0.105753718	0.160474027	0.009751251	0.024623524	0.01749755	0.020101449
A1BG-AS1	0.209144917	0.270342074	0.07412963	0.019044224	0.082754925	0	0.080541635	0.390188063	0.492054128	0.211236795	0.137196569	0.103324869	0.175628323	0.138028497	0.28306851	0.192962641	0.302793308	0.200781485	0.008114681	0.059334526	0.1745856	0.139130523	0.096778204
A1CF	0	0	0.004572239	0.042850974	0	0.075008245	0	0	0	0.001478791	0	0.002965574	0	0.02466272	0.019219026	0.009293045	0	0	0.012291097	0.002180502	0.004422693	0	0
A2M	9.167669331	0.265570706	1.184431625	0.453867761	0.44382135	0	4.833112521	0.387373687	0.080496385	0.193163401	0.176286578	0.117898025	0.228018845	0.047593078	0.017881602	0.196790158	0.024224229	0.14753796	0.046503249	0.144279229	0.075604749	0.0516427	0.066842506
A2M-AS1	0.00778331	0	0.025629661	0.03427374	0.110715004	0.020608815	0.031593516	0.016893503	0	0.054923625	0.059488459	0.037086681	0	0	0.009444587	0.155915453	0.027470181	0.061004074	0	0.000891094	0	0	0
A4GALT	0.085469178	0	0.10266123	0.048095386	0.0509111	0	0.031314076	0.02010791	0.344920845	0.009737651	0	0.003851477	0	0.034880939	0.101231981	0.004085215	0	0	0.132966169	0.003587172	0.06619203	1.173329936	0.396766525
AAAS	0.249132472	0.183524181	0.316952365	0.160768027	0.288179777	0.35140362	0.256914072	0.381143377	0.370070803	0.295025941	0.301916594	0.395903932	0.656246714	0.396397223	0.447883978	0.463863924	0.282516956	0.648311192	1.016174011	0.201375986	0.356559589	0.558624662	0.50962103
AACS	0.082067294	0	0.059356201	0.03475097	0.12542967	0.184204494	0.02123642	0.229942559	0.54729481	0.131763372	0.135073266	0.134835191	0.061634861	0.316657816	0.193875405	0.118922958	0.143553217	0.471762686	0.053160113	0.054453483	0.076492634	0.018173095	0.057211713
AADAT	0	0	0.006545761	0	0	0	0	0	0	0.002513447	0.010906404	0	0	0	0.00397951	0	0	0	0	0.000813662	0	0	0
AAED1	1.314187427	1.344756641	0.833055234	1.37497236	1.401974665	1.129240541	0.894582514	1.131469509	1.443248392	0.795685085	1.119680556	1.142374327	0.61027395	0.450102835	0.475940481	1.148659915	0.836283992	0.364868619	0.937670453	0.301437043	1.020719397	0.152500638	0.143767298
AAGAB	0.252533063	0.104298479	0.182333361	0.105247751	0.080264545	0.540189481	0.193475771	0.281833786	0.453698639	0.457015979	0.31861551	0.303848046	0.730226683	0.382770526	0.518235053	0.439313856	0.617638481	0.682049768	0.321915451	0.070110997	0.235467153	0.680233985	0.415014489
AAK1	0.260667344	0.043133969	0.201411856	0.195992771	0.246326503	0.026530918	0.177025292	1.465161441	0.663508876	1.105344163	1.080915805	1.745887361	1.714058581	0.571952018	0.833561315	1.397297393	3.544833925	3.353318595	1.077941469	0.054380179	0.070278962	0.08579204	0.062000373
AAMDC	1.090470483	0.112348019	0.439049259	0.348854492	1.776578584	0.458893785	0.92900352	0.293521497	1.055272131	0.627708969	0.647720431	0.421375243	0.62713442	0.041906428	0.900998635	0.495032525	0.293740195	0.590659973	0.423887755	0.123771401	0.206488621	0.302794834	0.247714996
AAMP	1.348320644	0.897932763	1.160598609	1.736613593	1.128110267	0.760207884	1.5636394	1.503402182	1.07725015	1.007994364	1.06102958	1.525705364	1.723591301	1.741059916	1.717558271	1.472914682	1.759358121	2.127593414	1.498337376	0.542146996	1.292797608	1.406279472	1.483436867
AANAT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008072192	0	0	0	0.004016418	0	0	0
AAR2	0.174956116	0.144619495	0.051106528	0.174813875	0.083423165	0	0.261288871	0.345932206	0.231274505	0.28139272	0.219275739	0.373908411	0.383653168	0.597759194	0.506036708	0.341881045	0.161894502	0.317761055	0.502721338	0.057380909	0.273193369	0.242092402	0.345467211
AARD	0	0.018168837	0	0	0.17071265	0.376102096	0.004931718	0.023130371	0	0.004441007	0.003935758	0	0	0	0.002803351	0.005584038	0	0	0	0.001790667	0.005903915	0	0.002411733
AARS	0.39958099	0.173266252	0.178790387	0.036839713	0.815790508	1.327915285	0.278595731	0.450093878	0.098702852	0.185346238	0.14887798	0.34539953	0.255020469	0.057029589	0.235587091	0.257567337	0.202987565	0.599363262	0.768929037	0.359100454	0.295989865	0.238942074	0.535902567
AARS2	0.063154271	0.019296666	0.037090323	0.009820061	0.039696003	0	0.048152666	0.27701453	0.049274098	0.09321562	0.018099349	0.047969316	0.022110788	0.125088041	0.057688282	0.019724643	0.012763343	0.140921274	0.014493837	0.012793397	0.05214963	0.068290497	0.059017101
AARSD1	0.147941888	0.066113422	0.144052754	0.14739147	0.072177679	0.075901204	0.157047236	0.469909959	1.533105062	1.033616252	0.755721429	1.010255297	0.451230098	0.471297562	0.469865675	0.775850874	0.449486479	1.085904762	0.314555444	0.120036879	0.588575664	0.11972807	0.12762223
AASDH	0.194656562	0.046314238	0.137816638	0.065651006	0.204294195	0.149091453	0.146463846	0.305811301	0.0763708	0.292437015	0.199143497	0.422988992	0.399236133	0.173603556	0.392836745	0.213302062	0.179137042	0.28121634	0.41757877	0.048239162	0.228587964	0.450707977	0.097588763
AASDHPPT	0.36647714	0.274394509	0.384087531	0.608742777	0.713420279	0.752483268	0.240209149	0.96706024	1.113323497	1.013266731	0.6055114	0.692165232	0.632202772	0.758696833	0.698794374	0.822502441	0.771478023	0.967694336	0.9798921	0.271515616	0.723217374	0.560678691	0.86188688
AASS	0.006844699	0	0.019298568	0.019964436	0.061456078	0.080371685	0	0.052128804	0	0.013505101	0	0.009542177	0.034122792	0	0	0.010730114	0	0.147694033	0	0.007989452	0.011089239	0	0.001394747
AATF	0.845892944	0.658224637	0.55601886	0.580711978	1.530619398	1.831055655	0.672125891	0.91642804	0.818256202	1.251905845	1.03632624	1.242825384	1.615166373	1.515802349	1.361813695	1.514522723	1.879898034	1.328236122	1.565191895	0.253311737	1.206069997	1.587459396	1.12569601
AATK	0.050425601	0	0.007537655	0.030013601	0.024764872	0	0.042244014	0.023643765	0.106727953	0.028837612	0.034767937	0.009019842	0.02161962	0.02995871	0.007040576	0.006683042	0	0.117612333	0	0.000301329	0.001421368	0	0
ABAT	0.062933246	0.196806924	0.079691538	0.01454275	0.066753074	0.087403914	0.027687916	0	0.143581947	0.054117675	0.095135614	0.111281033	0.170062793	0.101423172	0.1267445	0.195791172	0.357375662	0.442801022	0.159949702	0.009183853	0.147542701	0.114648286	0.017159173
ABCA1	1.199268636	0.355813103	0.188448158	0.272128382	0.78707314	0.108005472	0.299997083	0.074592578	0.252961175	0.201165261	0.134294498	0.090816436	0.158748733	0	0.100093278	0.035579393	0.66574506	0.434995483	0	0.020020641	0.046441641	0.025521033	0.013852833
ABCA10	0.005243776	0	0	0	0	0	0	0	0.244705116	0	0.004218509	0	0	0.022369497	0	0.002818215	0	0.02685565	0	0.004077274	0.006727253	0	0.025884651
ABCA2	0.052138969	0.012957989	0.021500114	0	0	0	0.014206941	0.328475724	0.168982528	0.091456484	0.063139272	0.049701666	0.084460649	0.044358843	0.387436639	0.152324099	0.142112584	0.65784971	0.02634342	0.002506525	0.015918193	0.090210303	0.018559982
ABCA3	0.048734483	0.019713463	0.002521541	0.060397443	0.051036012	0	0.012873132	0.028096876	0	0.03971819	0.037701221	0.027464767	0.050522805	0.069897924	0.019083557	0.046326905	0	0.043373328	0	0.005369786	0.011428426	0	0.001990607
ABCA5	0.111254475	0.083019032	0.03487134	0.032355579	0.033211004	0.319355728	0.05501866	0.120730952	0.23172646	0.288029216	0.204757873	0.183453067	0.21010265	0.169740552	0.388651133	0.196679732	0.248219548	0.302387124	0.085640635	0.10393758	0.115112171	0.116318196	0.078467111
ABCA6	0.021194576	0	0.010521908	0.12862104	0.044092713	0	0	0	0	0.007859237	0.021627642	0	0	0	0.010133382	0.003130795	0	0	0	0.007967261	0.023697713	0.289238486	0.087002252
ABCA7	0.443210086	0.15691486	0.103728572	0.05469175	0.196468426	0.10852191	0.191355418	0.267362092	0.204383495	0.17494548	0.073685132	0.110486912	0.172455414	0.082857274	0.139082884	0.14500508	0.113648819	0.532993623	0.143120472	0.031320505	0.061063562	0.192685385	0.089203505
ABCA8	0.06248819	0.058396335	0.053325085	0	0	0	0.0894291	0	0	0.031697154	0.022949781	0	0.052391128	0	0.019424134	0.042425306	0	0.108336204	0.006050964	0.02603309	0.006983953	0.020320343	0.008606805
ABCA9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002343429	0	0	0
ABCB1	0.023250578	0	0.006128238	0.023228968	0.073145172	0.24995048	0.013428536	0.75756798	0.937467899	0.515898687	0.426863017	0.233172702	0.065892804	0.157828559	1.035802778	0.398484505	1.023272881	1.154115392	0.396346381	0.022752774	0.215817762	0	0.007669435
ABCB10	0.01416234	0	0.00451203	0.06568208	0.034654328	0	0.023131264	0	0.160438344	0.022752127	0.034418457	0.055987341	0.047848678	0.371604476	0.094037625	0.082334912	0.065529929	0.236599553	0.116210939	0.013932625	0.030195605	0	0.057522372
ABCB4	0.049609727	0.035252567	0.083971169	0.031174009	0	0	0.04422267	0.009999896	0	0	0.002003701	0.006075592	0	0	0	0	0	0	0	0.010959187	0.788363497	0.325287223	0.049494431
ABCB5	0.00259826	0	0.022027278	0	0	0	0	0.08024887	0.077212566	0.005006472	0.004875461	0.041867301	0	0	0.00802256	0.014579958	0.100896635	0	0.037585543	0.002281559	0.01364806	0.024216256	0.007536779
ABCB7	0.299822589	0.08763389	0.431383744	0.085830823	0.644294187	1.097635615	0.1644675	0.392430472	0.371216068	0.291898699	0.285315039	0.34197707	0.447173931	0.374532888	0.23544481	0.290809317	0.224482786	0.155887	0.232883868	0.060182882	0.438488923	0.564511416	0.32552659
ABCB8	0.155570046	0.069223287	0.152817403	0.18348188	0.596051657	2.566355577	0.165283326	0.140362107	0.21775943	0.336221278	0.222235908	0.332080829	0.445203368	0.144791703	0.437228364	0.323024731	0.569667272	0.460783436	0.376379134	0.091725556	0.228947278	0.125935292	0.234257137
ABCB9	0.022496905	0.03874257	0.01235965	0	0	0.011757621	0.004952786	0	0	0.052671792	0.01566483	0.519913182	0.066647795	0.037643748	0.003949406	0.03932017	0.032115877	0	0.009860744	0.379790797	0.056003021	0.022400674	0.138776439
ABCC1	0.169416765	0.027693631	0.190598226	0.379122419	0.144462514	0.200065533	0.099541692	0	0.142272058	0.060658584	0.11270774	0.031779818	0.094460448	0.062108012	0.126376597	0.497204752	0.06023858	0.196117037	0.077583134	0.015148305	0.050932157	0.046558222	0.036029292
ABCC10	0.077658714	0.032711595	0.03201106	0.035839005	0	0	0.041763578	0.174838561	0.330596778	0.164833331	0.087355587	0.139334434	0.081595261	0.138618239	0.182369887	0.173247344	0.066187701	0.377768146	0.021117362	0.03022279	0.03653839	0.029629686	0.121160467
ABCC3	0.536992991	0.094220316	0.125968802	0.298707291	0.009194264	0	0.062308072	0	0.2527999	0.007806974	0.011002426	0.025462429	0.020507124	0.109076164	0.147105915	0.02000148	0.123223765	0.12542578	0.01523447	0.016036616	0.027229194	0	0
ABCC4	0.168085253	0.013498279	0.060787211	0.271244257	0.494725674	1.819414227	0.250832946	0	0	0.008470636	0.028541462	0.01740318	0.052009389	0.070063793	0.030283454	0.045588023	0.027695622	0.051083122	0.006414283	0.026708173	0.021442666	0.025020409	0.012468374
ABCC5	1.100178126	0	0.085330099	0.173142797	0.08449183	0.146085494	0.459774486	0.17014634	0.039006784	0.218262708	0.112514734	0.165816939	0.152365372	0.08098728	0.171060866	0.294959086	0.033467093	0.381357514	0.225304655	0.025285062	0.089040004	0.007053059	0.034003222
ABCC6	0.014782401	0	0.077716254	0	0.096447419	0	0	0	0.051424804	0	0	0.005759389	0	0	0.013356392	0.013012614	0	0	0	0.00156438	0.007050195	0	0
ABCD1	0.225387443	0.065079596	0.146323713	0.178284316	0.015823151	0	0.13852411	0.085862819	0	0.193718561	0.157381174	0.100271417	0.095123146	0.057140749	0.093979395	0.111504349	0.164731912	0.096816597	0.096450598	0.024687781	0.052358967	0	0.029346009
ABCD2	0.003494136	0.007749405	0	0	0	0	0.027409607	0.05364869	0.127705276	0.083469664	0.097681398	0.101304605	0.064490641	0.15877352	0.05460672	0.146404607	0.229921404	0	0.283690687	0.015195942	0.022136396	0	0.00968845
ABCD3	0.088784513	0.194341916	0.07571342	0.052872753	0.135846231	0.132945696	0.186026612	0.162796387	0	0.125349489	0.104527582	0.166722003	0.136095065	0.188996564	0.212691568	0.172315218	0.339120748	0.60867041	0.248614947	0.03445076	0.076283668	0.136604043	0.207484966
ABCD4	0.567069674	0.240699498	0.145196405	0.064636103	0.18286642	0.403961951	0.475789783	0.386262445	0.467284924	0.539881683	0.231299428	0.40356373	0.44524194	0.600045247	0.704316857	0.580410383	0.499463052	0.451526403	0.269192819	0.07586811	0.429393924	1.001819579	0.338060387
ABCE1	0.276720253	0.280921981	0.344158255	0.493684592	0.966803045	0.727970268	0.315183885	1.098092383	0.593506733	0.753062802	0.692186685	0.853720442	0.624563005	0.668198353	0.684168843	0.720133099	1.22118697	1.168260143	0.435819933	0.17122424	0.779992433	0.676794732	0.366086554
ABCF1	0.474663491	0.313841815	0.375738049	1.070587668	0.883417799	0.442581422	0.45228689	0.70281207	0.559257292	0.735470999	0.763337555	0.885575271	0.767231777	0.958867651	0.909081308	0.845069204	1.653781558	1.513341756	0.685257295	0.175700563	0.720031356	1.12795467	1.043869307
