	THP1_0H	THP1_0H_2	THP1_0H_3	Avg_expression	log2
LOC100652771	4.161099184	6.084160745	1.62456604	3.956608657	1.984264377
MIR551A	0	0	0.81228302	0.270761007	-1.884908109
AADACL3	0	0	0.81228302	0.270761007	-1.884908109
CELA2A	0	0	0.81228302	0.270761007	-1.884908109
PADI6	0	0	0.81228302	0.270761007	-1.884908109
MIR1290	0	0	0.81228302	0.270761007	-1.884908109
CAMK2N1	0	0	0.81228302	0.270761007	-1.884908109
CNR2	0	0	0.81228302	0.270761007	-1.884908109
TINAGL1	0	0	0.81228302	0.270761007	-1.884908109
SPOCD1	0	0	0.81228302	0.270761007	-1.884908109
MIR1273F	0	0	0.81228302	0.270761007	-1.884908109
LHX8	0	0	0.81228302	0.270761007	-1.884908109
MIR4423	0	0	0.81228302	0.270761007	-1.884908109
MIR2682	0	0	0.81228302	0.270761007	-1.884908109
MIR137	0	0	0.81228302	0.270761007	-1.884908109
PALMD	0	0	0.81228302	0.270761007	-1.884908109
SLC6A17	0	0	0.81228302	0.270761007	-1.884908109
KCNA10	0	0	0.81228302	0.270761007	-1.884908109
HSD3B1	0	0	0.81228302	0.270761007	-1.884908109
MIR554	0	0	0.81228302	0.270761007	-1.884908109
FLG2	0	0	0.81228302	0.270761007	-1.884908109
DARC	0	0	0.81228302	0.270761007	-1.884908109
ATP1A4	0	0	0.81228302	0.270761007	-1.884908109
MIR556	0	0	0.81228302	0.270761007	-1.884908109
PRRX1	0	0	0.81228302	0.270761007	-1.884908109
C1orf129	0	0	0.81228302	0.270761007	-1.884908109
B3GALT2	0	0	0.81228302	0.270761007	-1.884908109
CFHR3	0	0	0.81228302	0.270761007	-1.884908109
LOC641515	0	0	0.81228302	0.270761007	-1.884908109
IL10	0	0	0.81228302	0.270761007	-1.884908109
CR2	0	0	0.81228302	0.270761007	-1.884908109
LOC100652793	0	0	0.81228302	0.270761007	-1.884908109
MIR4742	0	0	0.81228302	0.270761007	-1.884908109
WDR64	0	0	0.81228302	0.270761007	-1.884908109
VN1R5	0	0	0.81228302	0.270761007	-1.884908109
OR2W5	0	0	0.81228302	0.270761007	-1.884908109
OR14A16	0	0	0.81228302	0.270761007	-1.884908109
OR2T12	0	0	0.81228302	0.270761007	-1.884908109
OR14C36	0	0	0.81228302	0.270761007	-1.884908109
ITIH5	0	0	0.81228302	0.270761007	-1.884908109
ITGA8	0	0	0.81228302	0.270761007	-1.884908109
LOC100652938	0	0	0.81228302	0.270761007	-1.884908109
MRC1	0	0	0.81228302	0.270761007	-1.884908109
LOC338579	0	0	0.81228302	0.270761007	-1.884908109
ZNF503-AS1	0	0	0.81228302	0.270761007	-1.884908109
ANKRD22	0	0	0.81228302	0.270761007	-1.884908109
LOC100505540	0	0	0.81228302	0.270761007	-1.884908109
HPSE2	0	0	0.81228302	0.270761007	-1.884908109
CYP17A1	0	0	0.81228302	0.270761007	-1.884908109
LOC100505856	0	0	0.81228302	0.270761007	-1.884908109
LOC100129413	0	0	0.81228302	0.270761007	-1.884908109
LOC100506006	0	0	0.81228302	0.270761007	-1.884908109
LOC338651	0	0	0.81228302	0.270761007	-1.884908109
OR56A5	0	0	0.81228302	0.270761007	-1.884908109
MRGPRX3	0	0	0.81228302	0.270761007	-1.884908109
DCDC1	0	0	0.81228302	0.270761007	-1.884908109
OR4C11	0	0	0.81228302	0.270761007	-1.884908109
OR7E5P	0	0	0.81228302	0.270761007	-1.884908109
SLC22A25	0	0	0.81228302	0.270761007	-1.884908109
KCNK4	0	0	0.81228302	0.270761007	-1.884908109
MRGPRF	0	0	0.81228302	0.270761007	-1.884908109
MMP8	0	0	0.81228302	0.270761007	-1.884908109
LOC643733	0	0	0.81228302	0.270761007	-1.884908109
HSPB2-C11orf52	0	0	0.81228302	0.270761007	-1.884908109
BSX	0	0	0.81228302	0.270761007	-1.884908109
LOC646543	0	0	0.81228302	0.270761007	-1.884908109
ANO2	0	0	0.81228302	0.270761007	-1.884908109
SCARNA11	0	0	0.81228302	0.270761007	-1.884908109
MIR141	0	0	0.81228302	0.270761007	-1.884908109
DPPA3	0	0	0.81228302	0.270761007	-1.884908109
PRB2	0	0	0.81228302	0.270761007	-1.884908109
GPRC5A	0	0	0.81228302	0.270761007	-1.884908109
SLC15A5	0	0	0.81228302	0.270761007	-1.884908109
PTHLH	0	0	0.81228302	0.270761007	-1.884908109
AQP5	0	0	0.81228302	0.270761007	-1.884908109
KRT78	0	0	0.81228302	0.270761007	-1.884908109
HOXC13	0	0	0.81228302	0.270761007	-1.884908109
HOXC5	0	0	0.81228302	0.270761007	-1.884908109
MIRLET7I	0	0	0.81228302	0.270761007	-1.884908109
FLJ41278	0	0	0.81228302	0.270761007	-1.884908109
TPH2	0	0	0.81228302	0.270761007	-1.884908109
PTPRQ	0	0	0.81228302	0.270761007	-1.884908109
MYF6	0	0	0.81228302	0.270761007	-1.884908109
C12orf55	0	0	0.81228302	0.270761007	-1.884908109
MIR1827	0	0	0.81228302	0.270761007	-1.884908109
PLA2G1B	0	0	0.81228302	0.270761007	-1.884908109
LOC100507091	0	0	0.81228302	0.270761007	-1.884908109
ZNF664-FAM101A	0	0	0.81228302	0.270761007	-1.884908109
FGF9	0	0	0.81228302	0.270761007	-1.884908109
CDX2	0	0	0.81228302	0.270761007	-1.884908109
C13orf33	0	0	0.81228302	0.270761007	-1.884908109
CSNK1A1L	0	0	0.81228302	0.270761007	-1.884908109
LOC144817	0	0	0.81228302	0.270761007	-1.884908109
SCEL	0	0	0.81228302	0.270761007	-1.884908109
